,# Traits rarity score,Accessory II rarity score,Head rarity score,Body rarity score,Background rarity score,Eyes rarity score,Accessory I rarity score,Mouth rarity score,Clothes rarity score,Name rarity score,Custom rarity score,# matching traits rarity score,final score,tokenID
4565,0.0007920228709101247,0.0001454671526922004,0.006680165427396929,5.43875973599964,0.39233909017744756,0.007871602227021582,0.00015708271339403597,0.0035018772649102097,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,5.85122963995084,4566
4802,0.0007123627671307249,0.00012410484355558353,0.0002139627977977458,5.43875973599964,0.39233909017744756,0.0003634679828452837,0.00015708271339403597,0.00019395609332097533,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,5.83384635949256,4803
2785,0.0007920228709101247,0.0001435066789362408,0.0002139627977977458,1.81291991199988,0.39233909017744756,0.007988218556310791,0.00015708271339403597,0.0029676925973815336,0.07009043831553553,9.849433622741406e-06,0.0002901483469558339,0.0,2.2879119244881725,2786
2116,0.0007920228709101247,1.476045962998207e-05,0.008370327764449164,1.81291991199988,0.39233909017744756,0.008295457731553513,0.0053807800463791374,0.003071822162201938,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,2.2321667693298792,2117
2721,0.0005248669451176123,0.00012410484355558353,0.0002139627977977458,1.81291991199988,0.39233909017744756,0.00849141342599966,0.004501741721970664,0.00019395609332097533,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,2.220291644122517,2722
6781,0.0005248669451176123,0.00011185079387677593,0.0002139627977977458,1.81291991199988,0.39233909017744756,0.009893665184421621,0.00015708271339403597,0.002281353267042482,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,2.219424379996405,6782
2886,0.0005248669451176123,0.0001317845987261023,0.0002139627977977458,1.81291991199988,0.39233909017744756,0.009715400946864476,0.00015708271339403597,0.0019953716609174984,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,2.2189800679575726,2887
1351,0.0007123627671307249,1.476045962998207e-05,0.0002139627977977458,1.81291991199988,0.39233909017744756,0.008295457731553513,0.00015708271339403597,0.00019395609332097533,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,2.215829180857582,1352
359,0.00015816062463246328,1.476045962998207e-05,0.012188372007882115,0.988865406545389,0.39233909017744756,0.008295457731553513,0.00015708271339403597,0.00019395609332097533,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,1.4031948824706773,360
210,0.00015816062463246328,0.00010954933721264472,0.017813774473058475,0.988865406545389,0.39233909017744756,0.0003634679828452837,0.00015708271339403597,0.00019395609332097533,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,1.400983084064728,211
4429,0.00015816062463246328,0.00013864837990975348,0.01157895340748801,0.988865406545389,0.39233909017744756,0.0003634679828452837,0.00015708271339403597,0.00019395609332097533,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,1.3947773620418547,4430
47,0.00015816062463246328,0.00013864837990975348,0.0002139627977977458,0.988865406545389,0.39233909017744756,0.011233432344812048,0.00015708271339403597,0.00019395609332097533,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,1.3942823357941312,48
4547,0.00015816062463246328,0.00010954933721264472,0.0002139627977977458,0.988865406545389,0.39233909017744756,0.011233432344812048,0.00015708271339403597,0.00019395609332097533,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,1.394253236751434,4548
6749,0.00015816062463246328,0.00012410484355558353,0.0002139627977977458,0.988865406545389,0.39233909017744756,0.009715400946864476,0.00015708271339403597,0.00019395609332097533,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,1.3927497608598296,6750
4441,0.00015816062463246328,0.00010954933721264472,0.009388340600665953,0.988865406545389,0.39233909017744756,0.0003634679828452837,0.00015708271339403597,0.00019395609332097533,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,1.3925576501923356,4442
3859,0.00015816062463246328,0.00011937438987745592,0.0002139627977977458,0.988865406545389,0.39233909017744756,0.00849141342599966,0.00015708271339403597,0.00019395609332097533,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,1.3915210428852864,3860
2154,0.00015816062463246328,0.00010954933721264472,0.0002139627977977458,0.988865406545389,0.39233909017744756,0.007988218556310791,0.00015708271339403597,0.00019395609332097533,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,1.3910080229629327,2155
2248,0.00015816062463246328,0.0001435066789362408,0.0002139627977977458,0.988865406545389,0.39233909017744756,0.006024634106714842,0.00015708271339403597,0.00019395609332097533,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,1.3890783958550605,2249
5633,0.00015816062463246328,0.0001435066789362408,0.0002139627977977458,0.988865406545389,0.39233909017744756,0.0003634679828452837,0.004330246799228925,0.00019395609332097533,0.0006825983368489517,9.849433622741406e-06,0.0002901483469558339,0.0,1.3875903938170258,5634
6513,0.0005248669451176123,1.476045962998207e-05,0.0002139627977977458,0.056950363727744924,0.7454442713371503,0.007237647685248033,0.00015708271339403597,0.002326828747448644,0.07116875275115915,9.849433622741406e-06,0.0002901483469558339,0.0,0.8843385349452689,6514
5487,0.0007920228709101247,0.00010954933721264472,0.0002139627977977458,0.04299414811066909,0.7454442713371503,0.011233432344812048,0.00015708271339403597,0.0031127797910312977,0.07116875275115915,9.849433622741406e-06,0.0002901483469558339,0.0,0.8755259998347149,5488
4980,0.0007920228709101247,0.00013864837990975348,0.0002139627977977458,0.046885859793100344,0.7454442713371503,0.006381121331964242,0.00015708271339403597,0.0035018772649102097,0.07116875275115915,9.849433622741406e-06,0.0002901483469558339,0.0,0.8749835970208745,4981
4893,0.00015816062463246328,1.476045962998207e-05,0.0002139627977977458,0.049896878311923305,0.7454442713371503,0.007237647685248033,0.00015708271339403597,0.00019395609332097533,0.07116875275115915,9.849433622741406e-06,0.0002901483469558339,0.0,0.8747854705548345,4894
379,0.0007123627671307249,1.476045962998207e-05,0.0002139627977977458,0.052803492582520775,0.7454442713371503,0.0003634679828452837,0.00015708271339403597,0.00019395609332097533,0.07116875275115915,9.849433622741406e-06,0.0002901483469558339,0.0,0.8713721072655275,380
2079,0.00015816062463246328,1.476045962998207e-05,0.0002139627977977458,0.04648512594871487,0.7454442713371503,0.0003634679828452837,0.00015708271339403597,0.003071822162201938,0.07116875275115915,9.849433622741406e-06,0.0002901483469558339,0.0,0.8673774045581043,2080
